"Unit type ","Unit ","Floor ","Street number ","Street alpha ","Street name ","Street type ","Street direction ","Suburb ","Town/City ","Unit type 2","Unit 2","Floor 2","Street number 2","Street alpha 2","Street name 2","Street type 2","Street direction 2","Suburb 2","Town/City 2","Unit type 3","Unit 3","Floor 3","Street number 3","Street alpha 3","Street name 3","Street type 3","Street direction 3","Suburb 3","Town/City 3","Unit type 4","Unit 4","Floor 4","Street number 4","Street alpha 4","Street name 4","Street type 4","Street direction 4","Suburb 4","Town/City 4","Unit type 5","Unit 5","Floor 5","Street number 5","Street alpha 5","Street name 5","Street type 5","Street direction 5","Suburb 5","Town/City 5","Unit type 6","Unit 6","Floor 6","Street number 6","Street alpha 6","Street name 6","Street type 6","Street direction 6","Suburb 6","Town/City 6","Unit type 7","Unit 7","Floor 7","Street number 7","Street alpha 7","Street name 7","Street type 7","Street direction 7","Suburb 7","Town/City 7","Unit type 8","Unit 8","Floor 8","Street number 8","Street alpha 8","Street name 8","Street type 8","Street direction 8","Suburb 8","Town/City 8","Unit type 9","Unit 9","Floor 9","Street number 9","Street alpha 9","Street name 9","Street type 9","Street direction 9","Suburb 9","Town/City 9","Common name 1","Common name 2","Common name 3","Common name 4","Common name 5","Common name 6","Common name 7","Common name 8","Common name 9","Common name 10","Notice type","Date of issue","Earthquake rating","Seismic work deadline","Priority building","Notice issued by","Heritage status","Area of seismic risk"
"","","","217","","Ravensbourne","Road","","Ravensbourne","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","06/05/2026","Not determined","22/04/2061","No","Dunedin City Council","","Low"
"","","","48","","The Octagon","","","Dunedin Central","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Municipal Chambers","","","","","","","","","","EPB notice","18/05/2026","0% to less than 20%","18/05/2061","No","Dunedin City Council","Historic place category 2","Low"
"","","","48","","The Octagon","","","Dunedin Central","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Town Hall / Glenroy Auditorium","","","","","","","","","","EPB notice","18/05/2026","0% to less than 20%","18/05/2061","No","Dunedin City Council","Historic place category 2","Low"
"","","","45","","Moray","Place","","Dunedin Central","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","08/04/2026","Not determined","19/03/2061","No","Dunedin City Council","Scheduled by the TA","Low"
"","","","50","","Lucknow ","Street","","","Wairoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","St Paul's Anglican Church","","","","","","","","","","EPB notice","15/11/2022","0% to less than 20%","15/11/2037","No","Wairoa District Council","","High"
"","","","55","","Edmonton","Road","","Hornby South","Christchurch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/05/2026","0% to less than 20%","26/11/2033","Yes","Christchurch City Council","","High"
"","","","53","","Edmonton","Road","","Hornby South","Christchurch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/05/2026","0% to less than 20%","26/11/2033","Yes","Christchurch City Council","","High"
"","","","91","","Jellicoe","Street","","","Te Puke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","22/05/2026","Not determined","22/11/2038","Yes","Western Bay of Plenty District Council","","Medium"
"","","","26","","Jellicoe","Street","","","Te Puke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","22/05/2026","Not determined","22/11/2038","Yes","Western Bay of Plenty District Council","","Medium"
"","","","22","","Jellicoe","Street","","","Te Puke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","22/05/2026","Not determined","22/05/2051","No","Western Bay of Plenty District Council","","Medium"
"","","","96","","Guyton","Street","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","20/05/2026","Not determined","20/05/2051","No","Whanganui District Council","","Medium"
"","","","79","","Purnell","Street","","College Estate","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","19/05/2026","Not determined","19/05/2051","No","Whanganui District Council","","Medium"
"","","","249","","Cumberland","Street","","Dunedin Central","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","08/04/2026","Not determined","19/03/2061","No","Dunedin City Council","Scheduled by the TA","Low"
"","","","10","","Main","Road","","","Katikati","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","19/08/2025","0% to less than 20%","19/02/2038","Yes","Western Bay of Plenty District Council","","Medium"
"","","","56","","George","Street","","","Port Chalmers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","03/03/2026","Not determined","27/02/2061","No","Dunedin City Council","Scheduled by the TA","Low"
"","","","16","","Holyhead","Street","","","Outram","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","03/03/2026","Not determined","26/02/2061","No","Dunedin City Council","","Low"
"","","","22","","Helanca","Avenue","","Wainoni","Christchurch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","28/04/2026","0% to less than 20%","28/10/2033","Yes","Christchurch City Council","","High"
"","","","79","","Brougham","Street","","Mt Victoria","Wellington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","25/11/2024","20% to less than 34%","05/07/2041","No","Wellington City Council","","High"
"","","","20","","Dundas","Street","","North Dunedin","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","12/02/2026","Not determined","31/01/2061","No","Dunedin City Council","","Low"
"","","","177","","King Edward","Street","","South Dunedin","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","12/02/2026","Not determined","30/01/2061","No","Dunedin City Council","Scheduled by the TA","Low"
